alpha,criterion,quantile_mode,delta_star_median,delta_star_p25,delta_star_p75,cost_baseline,cost_mild_drought,cost_severe_drought,cost_flashy,cost_no_rain,fn_baseline,fn_mild_drought,fn_severe_drought,fn_flashy,fn_no_rain,fn_total,cost_total
0.05,naive,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100712.0,100712.0,100710.0,101414.0,100709.0,1006.0,1006.0,1006.0,1013.0,1006.0,5037.0,504257.0
0.05,maximin,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100717.0,100716.0,100713.0,100715.0,100712.0,1006.0,1006.0,1006.0,1006.0,1006.0,5030.0,503573.0
0.05,maximax,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,102787.0,102587.0,102284.0,103184.0,100479.0,1027.0,1025.0,1022.0,1031.0,1004.0,5109.0,511321.0
0.05,savage,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100717.0,100716.0,100713.0,100715.0,100512.0,1006.0,1006.0,1006.0,1006.0,1004.0,5028.0,503373.0
0.1,naive,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100712.0,100712.0,100710.0,101414.0,100709.0,1006.0,1006.0,1006.0,1013.0,1006.0,5037.0,504257.0
0.1,maximin,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100717.0,100716.0,100713.0,100715.0,100712.0,1006.0,1006.0,1006.0,1006.0,1006.0,5030.0,503573.0
0.1,maximax,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,102787.0,102587.0,102284.0,103184.0,100479.0,1027.0,1025.0,1022.0,1031.0,1004.0,5109.0,511321.0
0.1,savage,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100717.0,100716.0,100713.0,100715.0,100512.0,1006.0,1006.0,1006.0,1006.0,1004.0,5028.0,503373.0
0.25,naive,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100712.0,100712.0,100710.0,101414.0,100709.0,1006.0,1006.0,1006.0,1013.0,1006.0,5037.0,504257.0
0.25,maximin,predictor,-11.458333333333332,-11.458333333333332,-11.458333333333332,100717.0,100716.0,100713.0,100715.0,100712.0,1006.0,1006.0,1006.0,1006.0,1006.0,5030.0,503573.0
